#RiboTaper 3nt results (doi:10.1038/nmeth.3688)
type	distance	counts	per	from	col
start_codon	-32	254	0.347749893895209	rna	1
start_codon	-31	291	0.398406374501992	rna	2
start_codon	-30	320	0.438110102545146	rna	0
start_codon	-29	333	0.455908325461042	rna	1
start_codon	-28	412	0.564066757026875	rna	2
start_codon	-27	348	0.476444736517846	rna	0
start_codon	-26	274	0.375131775304281	rna	1
start_codon	-25	559	0.765323585383552	rna	2
start_codon	-24	577	0.789967278651716	rna	0
start_codon	-23	641	0.877589299160745	rna	1
start_codon	-22	396	0.542161251899618	rna	2
start_codon	-21	451	0.617461425774565	rna	0
start_codon	-20	773	1.05830971646062	rna	1
start_codon	-19	546	0.747525362467655	rna	2
start_codon	-18	692	0.947413096753878	rna	0
start_codon	-17	604	0.826932818553963	rna	1
start_codon	-16	481	0.658534247888172	rna	2
start_codon	-15	437	0.598294108788215	rna	0
start_codon	-14	470	0.643474213113183	rna	1
start_codon	-13	585	0.800920031215345	rna	2
start_codon	-12	616	0.843361947399406	rna	0
start_codon	-11	536	0.733834421763119	rna	1
start_codon	-10	418	0.572281321449597	rna	2
start_codon	-9	411	0.562697662956422	rna	0
start_codon	-8	527	0.721512575129037	rna	1
start_codon	-7	768	1.05146424610835	rna	2
start_codon	-6	640	0.876220205090292	rna	0
start_codon	-5	1101	1.50737257156939	rna	1
start_codon	-4	520	0.711928916635862	rna	2
start_codon	-3	573	0.784490902369902	rna	0
start_codon	-2	406	0.555852192604154	rna	1
start_codon	-1	890	1.21849372270369	rna	2
start_codon	0	208	0.284771566654345	rna	0
start_codon	1	516	0.706452540354048	rna	1
start_codon	2	1362	1.86470612395778	rna	2
start_codon	3	279	0.381977245656549	rna	0
start_codon	4	573	0.784490902369902	rna	1
start_codon	5	507	0.694130693719965	rna	2
start_codon	6	313	0.428526444051971	rna	0
start_codon	7	347	0.475075642447393	rna	1
start_codon	8	408	0.558590380745061	rna	2
start_codon	9	295	0.403882750783806	rna	0
start_codon	10	380	0.520255746772361	rna	1
start_codon	11	459	0.628414178338194	rna	2
start_codon	12	518	0.709190728494955	rna	0
start_codon	13	316	0.432633726263332	rna	1
start_codon	14	421	0.576388603660958	rna	2
start_codon	15	402	0.550375816322339	rna	0
start_codon	16	326	0.446324666967867	rna	1
start_codon	17	389	0.532577593406443	rna	2
start_codon	18	441	0.603770485070029	rna	0
start_codon	19	345	0.472337454306485	rna	1
start_codon	20	392	0.536684875617804	rna	2
stop_codon	-32	604	0.390256509659495	rna	1
stop_codon	-31	722	0.466498675453899	rna	2
stop_codon	-30	670	0.432900432900433	rna	0
stop_codon	-29	580	0.374749628480972	rna	1
stop_codon	-28	806	0.52077275957873	rna	2
stop_codon	-27	612	0.395425470052336	rna	0
stop_codon	-26	596	0.385087549266654	rna	1
stop_codon	-25	722	0.466498675453899	rna	2
stop_codon	-24	683	0.4412999935388	rna	0
stop_codon	-23	612	0.395425470052336	rna	1
stop_codon	-22	793	0.512373198940363	rna	2
stop_codon	-21	663	0.428377592556697	rna	0
stop_codon	-20	638	0.412224591329069	rna	1
stop_codon	-19	867	0.560186082574142	rna	2
stop_codon	-18	663	0.428377592556697	rna	0
stop_codon	-17	614	0.396717710150546	rna	1
stop_codon	-16	750	0.484590036828843	rna	2
stop_codon	-15	614	0.396717710150546	rna	0
stop_codon	-14	660	0.426439232409382	rna	1
stop_codon	-13	764	0.493635717516315	rna	2
stop_codon	-12	721	0.465852555404794	rna	0
stop_codon	-11	576	0.372165148284551	rna	1
stop_codon	-10	556	0.359242747302449	rna	2
stop_codon	-9	712	0.460037474962848	rna	0
stop_codon	-8	891	0.575692963752665	rna	1
stop_codon	-7	1454	0.93945855139885	rna	2
stop_codon	-6	844	0.545325321444724	rna	0
stop_codon	-5	455	0.293984622342831	rna	1
stop_codon	-4	743	0.480067196485107	rna	2
stop_codon	-3	1221	0.788912579957356	rna	0
stop_codon	-2	878	0.567293403114299	rna	1
stop_codon	-1	1149	0.742391936421787	rna	2
stop_codon	0	474	0.306260903275829	rna	0
stop_codon	1	858	0.554371002132196	rna	1
stop_codon	2	566	0.3657039477935	rna	2
stop_codon	3	810	0.52335723977515	rna	0
stop_codon	4	839	0.542094721199199	rna	1
stop_codon	5	670	0.432900432900433	rna	2
stop_codon	6	588	0.379918588873813	rna	0
stop_codon	7	644	0.4161013116237	rna	1
stop_codon	8	496	0.320475544356141	rna	2
stop_codon	9	649	0.419331911869225	rna	0
stop_codon	10	610	0.394133229954126	rna	1
stop_codon	11	535	0.345674226271241	rna	2
stop_codon	12	512	0.330813465141823	rna	0
stop_codon	13	535	0.345674226271241	rna	1
stop_codon	14	581	0.375395748530077	rna	2
stop_codon	15	576	0.372165148284551	rna	0
stop_codon	16	743	0.480067196485107	rna	1
stop_codon	17	618	0.399302190346966	rna	2
stop_codon	18	610	0.394133229954126	rna	0
stop_codon	19	578	0.373457388382761	rna	1
stop_codon	20	571	0.368934548039026	rna	2
start_codon	-20	867	0.245237388094531	ribo	1
start_codon	-19	705	0.199414485128771	ribo	2
start_codon	-18	1520	0.429943287086144	ribo	0
start_codon	-17	886	0.250611679183108	ribo	1
start_codon	-16	728	0.205920205920206	ribo	2
start_codon	-15	1146	0.324154609868896	ribo	0
start_codon	-14	783	0.221477364334507	ribo	1
start_codon	-13	1752	0.495566209851924	ribo	2
start_codon	-12	39177	11.0815053672197	ribo	0
start_codon	-11	10840	3.06617449474592	ribo	1
start_codon	-10	3457	0.977838120695263	ribo	2
start_codon	-9	8576	2.42578528292814	ribo	0
start_codon	-8	2380	0.673200673200673	ribo	1
start_codon	-7	1162	0.328680328680329	ribo	2
start_codon	-6	5877	1.66235309092452	ribo	0
start_codon	-5	1396	0.394868966297538	ribo	1
start_codon	-4	1159	0.327831756403185	ribo	2
start_codon	-3	6612	1.87025329882473	ribo	0
start_codon	-2	1534	0.433903291046148	ribo	1
start_codon	-1	1656	0.468411896983326	ribo	2
start_codon	0	7836	2.21647078789936	ribo	0
start_codon	1	2001	0.565997708854852	ribo	1
start_codon	2	478	0.135205849491564	ribo	2
start_codon	3	6166	1.74409888695603	ribo	0
start_codon	4	2505	0.708557851414994	ribo	1
start_codon	5	1177	0.332923190066047	ribo	2
start_codon	6	6406	1.81198466912753	ribo	0
start_codon	7	1931	0.546197689054832	ribo	1
start_codon	8	985	0.27861456432885	ribo	2
start_codon	9	6575	1.85978757407329	ribo	0
start_codon	10	2078	0.587777730634873	ribo	1
start_codon	11	1001	0.283140283140283	ribo	2
start_codon	12	4445	1.25730125730126	ribo	0
start_codon	13	1254	0.354703211846069	ribo	1
start_codon	14	786	0.222325936611651	ribo	2
start_codon	15	3444	0.974160974160974	ribo	0
start_codon	16	1160	0.3281146138289	ribo	1
start_codon	17	688	0.194605908891623	ribo	2
start_codon	18	5434	1.53704725133297	ribo	0
start_codon	19	1588	0.449177592034735	ribo	1
start_codon	20	776	0.219497362354505	ribo	2
stop_codon	-32	1413	0.403905852490038	ribo	1
stop_codon	-31	1492	0.426487991447372	ribo	2
stop_codon	-30	3815	1.09051721673708	ribo	0
stop_codon	-29	1556	0.444782382501415	ribo	1
stop_codon	-28	1570	0.448784280544487	ribo	2
stop_codon	-27	4444	1.2703167788151	ribo	0
stop_codon	-26	1902	0.543686434137334	ribo	1
stop_codon	-25	1466	0.419055895081667	ribo	2
stop_codon	-24	4715	1.34778209093456	ribo	0
stop_codon	-23	3835	1.09623421394147	ribo	1
stop_codon	-22	2288	0.654024480182029	ribo	2
