#RiboTaper 3nt results (doi:10.1038/nmeth.3688)
type	distance	counts	per	from	col
start_codon	-32	318	0.322041622360626	rna	1
start_codon	-31	414	0.419261734771381	rna	2
start_codon	-30	375	0.379766064104512	rna	0
start_codon	-29	401	0.406096511215758	rna	1
start_codon	-28	602	0.609651121575776	rna	2
start_codon	-27	464	0.469897209985316	rna	0
start_codon	-26	446	0.451668438908299	rna	1
start_codon	-25	725	0.734214390602056	rna	2
start_codon	-24	726	0.735227100106335	rna	0
start_codon	-23	852	0.86282849764545	rna	1
start_codon	-22	545	0.55192667983189	rna	2
start_codon	-21	565	0.572180869917464	rna	0
start_codon	-20	875	0.886120816243861	rna	1
start_codon	-19	743	0.752443161679072	rna	2
start_codon	-18	783	0.79295154185022	rna	0
start_codon	-17	825	0.835485341029926	rna	1
start_codon	-16	639	0.647121373234088	rna	2
start_codon	-15	552	0.559015646361841	rna	0
start_codon	-14	603	0.610663831080055	rna	1
start_codon	-13	667	0.675477239353891	rna	2
start_codon	-12	780	0.789913413337384	rna	0
start_codon	-11	649	0.657248468276875	rna	1
start_codon	-10	477	0.483062433540939	rna	2
start_codon	-9	537	0.543825003797661	rna	0
start_codon	-8	616	0.623829054635678	rna	1
start_codon	-7	947	0.959035900551927	rna	2
start_codon	-6	971	0.983340928654615	rna	0
start_codon	-5	1581	1.60109372626462	rna	1
start_codon	-4	716	0.725100005063548	rna	2
start_codon	-3	733	0.742316066636285	rna	0
start_codon	-2	575	0.582307964960251	rna	1
start_codon	-1	1056	1.0694212365183	rna	2
start_codon	0	392	0.396982125677249	rna	0
start_codon	1	740	0.749405033166236	rna	1
start_codon	2	1676	1.6973011291711	rna	2
start_codon	3	417	0.422299863284217	rna	0
start_codon	4	910	0.921565648893615	rna	1
start_codon	5	751	0.760544837713302	rna	2
start_codon	6	452	0.457744695933971	rna	0
start_codon	7	416	0.421287153779938	rna	1
start_codon	8	517	0.523570813712087	rna	2
start_codon	9	409	0.414198187249987	rna	0
start_codon	10	504	0.510405590156464	rna	1
start_codon	11	610	0.617752797610006	rna	2
start_codon	12	615	0.622816345131399	rna	0
start_codon	13	410	0.415210896754266	rna	1
start_codon	14	498	0.504329333130791	rna	2
start_codon	15	421	0.426350701301332	rna	0
start_codon	16	365	0.369638969061725	rna	1
start_codon	17	405	0.410147349232872	rna	2
start_codon	18	499	0.50534204263507	rna	0
start_codon	19	384	0.38888044964302	rna	1
start_codon	20	484	0.49015140007089	rna	2
stop_codon	-32	795	0.372319998501353	rna	1
stop_codon	-31	1023	0.479098564109289	rna	2
