#Ribo-seq raw count
len_ribo	es1_ribo	es2_ribo	es3_ribo	npc1_ribo	npc2_ribo	npc3_ribo
DDX11L1	1735	0	0	0	0	0	0
WASH7P	1351	0	0	0	0	0	0
MIR6859-1	68	0	0	0	0	0	0
MIR1302-2HG	1021	0	0	0	0	0	0
MIR1302-2	138	0	0	0	0	0	0
FAM138A	1219	0	0	0	0	0	0
OR4G4P	840	0	0	0	0	0	0
OR4G11P	1414	0	0	0	0	0	0
OR4F5	2618	0	0	0	0	0	0
AL627309.1	3726	0	0	0	0	0	0
AL627309.3	1319	0	0	0	0	0	0
CICP27	3812	0	0	0	0	0	0
AL627309.6	755	0	0	0	0	0	0
AL627309.7	284	0	0	0	0	0	0
AL627309.2	323	0	0	0	0	0	0
AL627309.5	7559	0	0	0	0	0	0
RNU6-1100P	104	0	0	0	0	0	0
AL627309.4	457	0	0	0	0	0	0
FO538757.1	570	0	0	0	0	0	0
WASH9P	1397	5	0	0	0	0	1
MIR6859-2	68	0	0	0	0	0	0
AP006222.1	8224	0	0	0	0	0	1
AP006222.2	736	0	0	0	0	0	0
RPL23AP24	385	0	0	0	0	0	0
AL732372.1	1095	0	0	0	0	0	0
AL732372.2	6204	11	1	0	2	2	12
WBP1LP7	363	0	0	0	0	0	0
OR4F29	995	0	0	0	0	0	0
CICP7	2477	0	0	0	0	0	0
AL732372.3	1239	0	0	0	0	0	0
RF00026	2952	5	2	5	2	6	5
AL669831.3	5495	0	0	0	0	0	0
AC114498.1	635	0	0	0	0	0	0
MTND1P23	372	0	0	0	0	1	0
MTND2P28	1044	1	4	4	15	2	14
MTCO1P12	1543	2	1	1	9	4	1
AC114498.2	89	0	0	0	0	0	0
MTCO2P12	682	0	0	0	0	0	1
MTATP8P1	207	0	0	0	1	2	0
MTATP6P1	681	4	0	0	1	5	3
MTCO3P12	547	0	1	0	0	0	0
WBP1LP6	424	0	0	0	0	0	0
OR4F16	995	0	0	0	0	0	0
CICP3	2455	0	0	0	0	0	0
AL669831.1	6432	0	0	0	0	4	3
RNU6-1199P	104	0	0	0	0	0	0
AL669831.2	456	0	0	0	0	0	0
AL669831.5	8413	0	0	0	0	0	0
AL669831.7	114	0	0	0	0	0	0
AL669831.4	872	0	0	0	0	0	0
FAM87B	1947	0	0	0	1	0	0
LINC01128	18974	11	6	12	12	8	20
LINC00115	1317	0	2	2	2	0	0
FAM41C	1971	0	0	0	0	0	0
TUBB8P11	1058	0	0	0	0	0	0
AL669831.6	837	0	0	0	0	0	0
AL645608.6	351	1	0	0	6	2	4
AL645608.2	3043	0	0	0	0	1	4
AL645608.4	443	0	0	0	0	0	0
LINC02593	4152	0	1	0	2	5	3
SAMD11	4173	5	4	5	10	7	13
NOC2L	5540	637	206	668	228	321	346
KLHL17	3402	36	22	30	91	121	165
PLEKHN1	2833	4	3	15	4	4	13
PERM1	3424	0	0	0	0	0	0
AL645608.7	2086	0	0	1	2	3	0
HES4	1118	8	3	3	162	130	205
ISG15	867	76	81	102	124	165	218
AL645608.3	154	0	0	0	0	0	0
AL645608.1	471	0	2	0	0	0	0
AGRN	10761	607	732	784	2047	2139	2857
AL645608.5	402	0	0	0	0	0	0
AL390719.1	2203	1	1	0	1	5	4
AL645608.8	829	0	0	0	2	3	1
RNF223	1900	0	0	0	0	0	0
C1orf159	6322	25	35	34	29	45	88
AL390719.3	1095	0	0	0	0	0	0
LINC01342	1620	0	0	1	0	0	0
MIR200B	95	1	4	1	15	10	20
MIR200A	90	1	6	3	7	6	12
MIR429	83	0	0	0	0	0	0
AL390719.2	987	0	0	0	0	0	0
TTLL10-AS1	3532	1	0	4	0	0	0
TTLL10	3943	0	2	0	0	0	1
TNFRSF18	1271	1	1	4	4	2	1
TNFRSF4	1722	0	0	0	0	0	1
SDF4	4745	565	613	660	1237	1125	1611
B3GALT6	2805	20	51	27	20	27	30
C1QTNF12	1794	2	1	4	17	19	13
AL162741.1	1558	0	0	0	0	2	1
UBE2J2	4712	117	94	153	66	60	68
LINC01786	513	0	0	0	1	0	1
SCNN1D	4025	2	0	0	10	26	15
ACAP3	8707	15	15	28	79	136	141
MIR6726	61	0	0	0	0	0	0
PUSL1	2459	94	78	138	42	53	66
INTS11	8220	709	362	761	608	748	1007
MIR6727	65	0	0	0	0	0	0
AL139287.1	386	0	0	0	0	0	0
CPTP	2555	20	36	37	18	31	29
TAS1R3	3475	3	4	0	1	3	3
DVL1	3882	41	27	33	188	283	323
MIR6808	59	0	0	0	0	0	0
MXRA8	3622	19	18	32	46	45	86
AURKAIP1	1669	501	401	606	245	215	343
NDUFB4P8	367	0	0	0	0	0	0
CCNL2	6857	163	87	147	317	347	410
MRPL20-AS1	2527	63	44	73	52	37	69
MRPL20	2767	369	340	402	174	203	221
RN7SL657P	293	0	0	0	0	0	0
AL391244.2	1523	1	0	0	0	1	0
ANKRD65	2644	1	2	1	2	5	9
AL391244.1	543	0	0	0	0	0	0
TMEM88B	492	4	4	1	1	1	1
LINC01770	851	4	0	0	0	0	0
VWA1	5065	125	172	163	90	102	113
ATAD3C	3976	0	0	0	0	0	2
ATAD3B	7682	63	50	76	90	85	127
AL645728.2	660	0	0	0	0	0	0
ATAD3A	3069	76	67	95	75	55	100
TMEM240	2009	17	24	19	39	39	62
SSU72	6919	517	478	634	620	602	1011
AL645728.1	2349	8	4	14	5	12	10
AL691432.3	400	0	0	0	0	0	0
FNDC10	2124	14	18	14	12	6	4
AL691432.4	1830	0	0	4	3	6	3
AL691432.2	2038	0	4	0	1	4	8
MIB2	8767	31	27	38	105	115	182
MMP23B	2273	2	3	1	2	1	2
CDK11B	3488	199	81	197	477	436	603
FO704657.1	400	0	0	0	0	0	0
SLC35E2B	8395	22	31	35	54	61	81
AL691432.1	1819	0	0	0	0	0	0
MMP23A	1017	0	0	0	0	1	0
CDK11A	5085	3	0	1	2	5	7
AL031282.2	5079	2	1	0	1	0	4
AL031282.1	2759	0	0	0	0	0	0
SLC35E2A	7713	0	3	2	6	5	5
NADK	5570	155	94	173	127	117	158
GNB1	6417	1033	969	1356	1424	1475	2128
AL109917.1	906	0	0	2	0	0	0
CALML6	2040	2	1	0	3	2	2
TMEM52	1600	17	35	18	6	8	8
CFAP74	10422	0	0	0	3	7	1
AL391845.2	2063	0	0	0	0	0	0
GABRD	5525	16	8	10	3	7	7
AL391845.1	538	1	20	8	0	0	0
PRKCZ	7695	94	97	131	464	454	638
AL590822.2	4196	0	0	0	0	0	0
PRKCZ-AS1	1734	0	0	0	0	1	2
FAAP20	10916	176	176	200	201	210	344
AL590822.1	326	0	0	0	0	0	0
SKI	6550	148	71	154	377	440	586
AL590822.3	5794	1	2	0	1	0	1
MORN1	11337	11	6	19	50	86	84
AL589739.1	493	0	0	0	0	0	0
AL513477.1	2407	0	0	0	0	0	1
AL513477.2	568	0	0	0	0	0	0
RER1	5689	235	243	259	75	99	107
PEX10	3789	11	27	20	22	17	21
PLCH2	10809	0	1	1	10	15	6
AL139246.1	455	0	0	0	1	0	0
AL139246.4	514	0	0	0	0	0	2
PANK4	5109	118	59	153	242	249	335
HES5	1324	2	1	0	30	51	49
AL139246.5	1531	0	0	4	0	7	2
TNFRSF14-AS1	6137	0	0	0	0	0	0
TNFRSF14	6219	0	0	0	0	1	2
AL139246.2	1297	0	0	0	0	0	0
AL139246.3	626	0	0	0	0	0	0
PRXL2B	3371	115	83	128	28	53	37
MMEL1	3870	5	8	15	8	7	7
AL831784.1	373	0	0	0	0	0	0
TTC34	8814	0	0	0	0	0	0
AC242022.2	593	0	0	0	0	0	0
AC242022.1	1565	0	0	0	0	0	0
AL592464.2	607	0	0	0	0	0	0
AL592464.3	663	0	0	0	0	0	0
AL592464.1	429	0	0	0	0	0	0
AL589702.1	1654	0	0	0	0	1	0
ACTRT2	1421	0	0	0	0	0	0
PRDM16-DT	5600	2	0	1	4	4	1
PRDM16	9767	10	6	2	215	254	356
MIR4251	61	0	0	0	0	0	0
AL008733.1	469	0	0	0	0	0	1
AL512383.1	2677	0	1	0	0	0	0
AL590438.1	3461	0	0	1	0	0	1
AL354743.2	728	0	0	0	0	0	0
AL354743.1	2784	0	0	0	0	0	1
ARHGEF16	5324	135	51	144	77	109	97
AL512413.1	382	0	0	0	0	0	1
MEGF6	9021	44	44	64	101	110	127
MIR551A	96	0	0	0	0	0	0
AL513320.1	622	0	0	0	0	0	0
TPRG1L	2401	41	39	50	47	49	61
WRAP73	7634	197	190	228	78	94	124
TP73	6767	6	11	10	8	10	29
AL136528.1	754	0	0	0	0	0	0
AL136528.2	351	1	0	0	0	0	0
TP73-AS1	9701	13	22	18	63	97	103
RF02197	161	0	0	0	0	0	0
CCDC27	4238	0	1	0	0	1	0
SMIM1	981	6	1	9	9	7	2
LRRC47	4509	351	193	397	130	178	199
RN7SL574P	297	0	0	0	0	0	0
AL365330.1	531	0	1	0	1	2	1
CEP104	7871	68	30	65	206	240	291
DFFB	3870	36	27	22	15	14	18
C1orf174	4388	49	102	68	98	109	121
LINC01134	4084	2	0	2	0	0	1
LINC01346	5054	0	0	0	0	0	0
LINC01345	2168	0	0	0	0	0	0
AL805961.1	1835	0	0	0	0	0	2
AL805961.2	4817	0	0	0	0	0	0
EEF1DP6	372	0	0	0	0	0	0
LINC01777	2574	0	0	0	0	0	0
AL355602.1	3402	0	0	0	0	2	0
Z98747.1	356	0	0	0	0	0	0
LINC01646	3328	0	1	0	0	0	0
AJAP1	12405	11	15	21	2	2	12
Z98886.1	3225	0	0	0	0	0	0
BX005132.2	464	0	0	0	0	0	0
BX005132.1	1580	0	0	0	0	0	0
AL691497.1	449	0	0	0	0	0	0
AL139823.1	1225	0	0	0	0	0	0
Z98259.3	2316	0	0	0	0	0	0
Z98259.2	609	0	0	0	0	0	0
Z98259.1	1697	0	0	0	0	0	0
Z97988.2	135	0	0	0	0	0	0
AL365255.1	1095	0	0	0	0	0	0
Z97988.1	73	0	0	0	0	0	0
MIR4689	70	0	0	0	0	0	0
NPHP4	13167	38	16	49	90	145	142
KCNAB2	17329	13	5	8	29	23	40
CHD5	10094	7	7	14	25	47	56
AL031847.2	663	0	0	0	0	0	0
RPL22	4665	34	23	45	12	14	24
AL031847.1	378	2	0	0	0	0	0
RNF207	6595	4	0	5	11	12	20
ICMT	4910	160	215	190	82	50	79
LINC00337	2358	10	6	10	3	0	0
HES3	697	832	1128	1073	86	79	102
GPR153	4198	1	3	4	6	11	24
ACOT7	4124	720	450	933	495	586	772
AL031848.2	837	0	0	0	0	0	0
HES2	5407	0	5	1	13	10	28
ESPN	6952	36	25	55	12	23	33
MIR4252	63	0	0	0	0	0	0
AL031848.1	351	0	0	0	0	0	0
TNFRSF25	4283	8	22	23	21	8	15
PLEKHG5	7053	81	40	84	153	214	270
NOL9	7271	257	104	281	144	196	219
RNU6-731P	111	0	0	0	0	0	0
AL591866.1	401	0	0	0	0	0	0
TAS1R1	2764	0	0	0	0	0	2
ZBTB48	4510	57	32	65	53	62	89
KLHL21	6901	123	71	119	39	79	85
PHF13	3632	237	138	310	235	291	351
THAP3	4072	45	11	40	19	43	47
DNAJC11	5083	623	349	700	509	562	723
LINC01672	2188	0	0	0	0	0	0
AL591163.1	987	0	0	0	0	0	0
CAMTA1-DT	415	0	0	1	0	0	0
CAMTA1	9903	170	182	191	144	151	236
AL590128.1	286	0	0	0	0	1	0
AL512330.1	349	0	0	0	0	0	0
RNU1-8P	165	23	7	23	292	323	304
CAMTA1-IT1	365	0	0	0	0	0	0
Z97987.1	744	0	0	0	0	0	0
AL365194.1	361	0	0	0	0	0	0
AL359881.3	1721	0	0	0	0	0	0
AL359881.2	570	0	0	0	0	0	0
AL359881.1	267	0	0	0	0	0	0
VAMP3	2733	41	57	62	50	34	62
Z98884.2	393	0	0	0	0	0	0
PER3	8099	8	16	17	103	122	151
Z98884.1	830	0	0	0	0	0	0
UTS2	1791	0	0	0	0	0	0
TNFRSF9	6331	0	0	0	2	1	0
AL009183.1	355	0	0	0	0	0	0
PARK7	2397	576	526	745	341	355	334
RF00019	78876	461	661	648	2736	2001	2266
AL034417.4	4116	0	0	1	0	2	1
AL034417.3	1043	0	0	0	0	0	0
ERRFI1	4179	92	72	95	24	50	64
AL034417.2	2044	0	0	0	0	1	1
AL034417.1	800	0	0	0	0	0	0
AL358876.1	1075	0	0	0	0	0	0
LINC01714	1001	0	0	0	0	0	0
RNU1-7P	164	2	0	0	19	14	19
AL358876.2	477	0	0	0	0	0	0
RNU6-991P	107	0	0	0	0	0	0
SLC45A1	2888	4	5	5	7	3	8
RERE	14112	324	150	305	594	703	855
RERE-AS1	1178	38	43	80	92	114	125
RF00599	237	0	0	0	0	0	0
AL096855.1	369	0	0	0	0	0	0
RPL7P11	658	0	0	0	0	0	0
RPL7P7	703	1	0	0	0	0	1
AL357552.1	415	0	0	0	0	2	0
AL357552.2	353	0	0	0	0	0	1
RPL23AP19	369	0	0	0	0	1	0
ENO1	5216	10983	3796	12004	7021	10284	11594
MIR6728	89	0	0	0	0	0	0
ENO1-AS1	456	1	0	0	0	0	0
RNU6-304P	107	0	0	0	0	0	0
HMGN2P17	743	1	0	0	0	0	0
AL139415.1	352	0	0	0	0	0	0
AL139415.2	163	0	0	0	0	0	0
CA6	2662	0	0	0	0	0	0
RN7SL451P	299	1	0	1	2	0	0
SLC2A7	1539	0	0	0	0	0	0
SLC2A5	6693	0	1	0	0	1	1
RF00424	909	1	2	0	1	2	0
GPR157	5304	4	7	6	5	13	25
MIR34AHG	8702	0	2	0	19	4	12
MIR34A	110	0	0	0	0	0	0
LNCTAM34A	2141	0	0	0	0	1	3
H6PD	9321	13	11	14	67	69	99
SPSB1	3389	41	31	41	75	61	100
BX323043.1	1765	0	0	0	0	0	0
LINC02606	2623	0	0	0	0	0	0
RNA5SP40	110	0	0	0	0	0	0
AL928921.1	708	0	0	1	0	0	0
SLC25A33	3865	2	1	2	1	3	2
AL954705.1	559	0	0	1	0	0	0
TMEM201	6981	158	160	183	103	131	223
PIK3CD	6332	27	22	44	80	77	95
PIK3CD-AS1	1823	0	0	0	0	0	0
AL691449.1	421	0	0	0	0	0	0
PIK3CD-AS2	939	6	9	16	12	14	12
CLSTN1	5683	1213	1175	1480	2644	2425	3710
MZT1P1	246	0	0	0	0	0	0
AL357140.3	1983	0	0	0	0	0	0
CTNNBIP1	3339	63	74	78	155	169	212
AL357140.1	424	0	0	0	0	0	0
AL357140.4	762	0	0	0	0	0	0
LZIC	5459	101	93	109	106	144	104
AL357140.2	440	1	0	0	0	0	0
NMNAT1	4610	4	6	3	23	18	14
RN7SKP269	319	0	0	0	0	1	0
TMEM274P	444	0	0	0	0	0	0
MIR5697	78	0	0	0	0	0	0
AL603962.1	436	0	0	0	0	0	0
RBP7	862	10	10	18	10	10	11
UBE4B	9128	289	180	350	334	343	457
AL590639.1	337	0	0	0	0	0	0
PGAM1P11	680	0	0	0	0	0	0
RNU6-828P	107	0	0	0	0	0	0
KIF1B	17720	372	136	284	1017	1264	1503
AL358013.1	86	0	0	0	0	0	0
RNU6-37P	107	0	0	0	0	0	0
RN7SL731P	293	0	0	0	0	0	0
AL139424.3	2381	0	0	0	0	0	0
AL139424.2	1477	1	0	0	0	0	1
PGD	3333	1770	540	1865	761	953	1195
AL139424.1	797	0	0	3	0	0	0
CENPS-CORT	2244	0	0	0	0	0	0
CENPS	1748	0	0	0	0	0	0
CORT	1130	0	0	0	0	1	0
DFFA	6625	173	102	156	168	184	241
AL354956.1	467	0	0	0	0	0	0
PEX14	2932	75	59	79	84	86	139
AL139423.2	2876	0	0	0	0	0	0
RN7SL614P	280	0	1	0	0	0	0
CASZ1	11336	26	7	25	242	276	386
AL139423.1	7923	0	0	0	0	2	3
