#RNA-seq raw count
len_rna	es1_rna	es2_rna	es3_rna	npc1_rna	npc2_rna	npc3_rna
DDX11L1	1735	0	0	0	1	0	0
WASH7P	1351	97	104	39	270	312	306
MIR6859-1	68	2	10	0	7	3	6
MIR1302-2HG	1021	0	0	0	0	0	0
MIR1302-2	138	0	0	0	0	0	0
FAM138A	1219	0	0	0	0	0	0
OR4G4P	840	0	0	0	0	0	0
OR4G11P	1414	0	0	0	0	0	0
OR4F5	2618	0	0	0	0	0	0
AL627309.1	3726	2	12	4	0	1	2
AL627309.3	1319	0	0	0	0	0	0
CICP27	3812	0	0	0	0	0	0
AL627309.6	755	39	34	7	13	17	12
AL627309.7	284	20	24	3	11	14	19
AL627309.2	323	0	4	2	6	0	1
AL627309.5	7559	59	57	48	47	49	66
RNU6-1100P	104	0	0	0	0	0	0
AL627309.4	457	0	0	0	0	0	0
FO538757.1	570	0	0	0	0	1	0
WASH9P	1397	39	65	17	137	154	120
MIR6859-2	68	0	0	0	0	0	0
AP006222.1	8224	7	6	0	8	10	0
AP006222.2	736	0	0	0	0	0	0
RPL23AP24	385	0	0	0	0	0	0
AL732372.1	1095	0	0	0	0	0	0
AL732372.2	6204	215	299	196	331	371	325
WBP1LP7	363	0	0	0	0	0	0
OR4F29	995	0	0	0	0	0	0
CICP7	2477	0	0	0	0	0	0
AL732372.3	1239	0	0	0	0	0	0
RF00026	2952	20	23	9	25	33	36
AL669831.3	5495	6	14	6	14	18	25
AC114498.1	635	0	0	0	0	0	1
MTND1P23	372	4	4	1	0	0	2
MTND2P28	1044	88	122	125	43	60	63
MTCO1P12	1543	287	345	232	230	238	241
AC114498.2	89	0	0	0	0	0	0
MTCO2P12	682	9	8	8	2	4	5
MTATP8P1	207	0	0	0	0	0	0
MTATP6P1	681	1089	1092	1349	424	365	538
MTCO3P12	547	3	6	10	8	3	3
WBP1LP6	424	0	0	0	0	0	0
OR4F16	995	0	0	0	0	0	0
CICP3	2455	0	0	0	0	0	0
AL669831.1	6432	141	203	131	280	394	350
RNU6-1199P	104	2	4	2	3	6	3
AL669831.2	456	0	0	0	0	0	0
AL669831.5	8413	10	28	31	21	36	34
AL669831.7	114	0	0	0	0	0	0
AL669831.4	872	11	7	7	21	38	29
FAM87B	1947	0	0	0	0	1	1
LINC01128	18974	272	313	261	352	546	450
LINC00115	1317	6	11	3	13	16	14
FAM41C	1971	0	0	0	0	0	0
TUBB8P11	1058	1	0	0	1	0	1
AL669831.6	837	0	0	0	0	0	0
AL645608.6	351	6	8	2	45	38	34
AL645608.2	3043	26	38	27	155	244	198
AL645608.4	443	0	0	0	0	1	1
LINC02593	4152	22	14	6	38	56	49
SAMD11	4173	31	46	19	54	83	66
NOC2L	5540	4345	5989	2617	3837	4961	4275
KLHL17	3402	211	347	85	388	508	462
PLEKHN1	2833	29	41	11	31	41	45
PERM1	3424	0	4	0	1	2	1
AL645608.7	2086	3	7	1	128	155	126
HES4	1118	10	18	6	809	1069	772
ISG15	867	185	272	26	732	1004	815
AL645608.3	154	0	0	0	0	0	0
AL645608.1	471	0	0	0	0	1	0
AGRN	10761	3455	4733	1305	12823	15946	12923
AL645608.5	402	0	0	0	0	0	0
AL390719.1	2203	24	52	14	73	99	82
AL645608.8	829	0	0	0	0	0	0
RNF223	1900	0	0	0	7	0	3
C1orf159	6322	144	252	59	470	585	481
AL390719.3	1095	0	0	0	0	0	0
LINC01342	1620	0	1	0	5	0	0
MIR200B	95	0	0	0	2	0	0
MIR200A	90	0	0	0	0	0	0
MIR429	83	0	1	0	0	0	0
AL390719.2	987	0	0	0	0	0	1
TTLL10-AS1	3532	0	0	0	2	1	1
TTLL10	3943	0	0	0	0	4	1
TNFRSF18	1271	0	0	0	1	0	0
TNFRSF4	1722	1	0	0	3	4	3
SDF4	4745	1210	1693	888	1594	2103	1860
B3GALT6	2805	459	587	315	947	1190	1068
C1QTNF12	1794	2	6	0	53	53	58
AL162741.1	1558	4	4	3	6	24	8
UBE2J2	4712	1015	1355	633	1420	2029	1707
LINC01786	513	7	5	3	39	35	40
SCNN1D	4025	20	35	10	128	165	155
ACAP3	8707	490	688	172	799	973	950
MIR6726	61	0	0	0	0	0	0
PUSL1	2459	280	398	73	268	434	344
INTS11	8220	1875	2451	964	2854	3460	3139
MIR6727	65	0	0	0	0	0	0
AL139287.1	386	24	50	33	87	90	87
CPTP	2555	184	219	85	260	387	276
TAS1R3	3475	0	4	0	2	10	6
DVL1	3882	903	1238	340	1419	1898	1559
MIR6808	59	0	0	0	0	0	0
MXRA8	3622	63	97	23	141	190	135
AURKAIP1	1669	678	1196	282	489	771	621
NDUFB4P8	367	0	0	0	2	8	0
CCNL2	6857	1289	1897	1048	2927	3947	3702
MRPL20-AS1	2527	351	461	237	462	564	542
MRPL20	2767	441	652	298	476	611	528
RN7SL657P	293	0	0	0	0	0	0
AL391244.2	1523	92	108	78	160	211	205
ANKRD65	2644	12	16	4	26	37	28
AL391244.1	543	4	2	0	3	2	1
TMEM88B	492	3	5	0	1	4	0
LINC01770	851	5	23	1	15	8	10
VWA1	5065	479	778	247	574	646	629
ATAD3C	3976	18	34	16	29	44	26
ATAD3B	7682	665	926	304	681	852	735
AL645728.2	660	1	0	5	1	0	5
ATAD3A	3069	1023	1545	441	583	878	735
TMEM240	2009	18	37	8	77	129	98
SSU72	6919	2521	3561	2069	1865	2558	2274
AL645728.1	2349	36	41	27	73	113	104
AL691432.3	400	0	0	0	0	0	0
FNDC10	2124	222	385	73	235	301	247
AL691432.4	1830	15	24	2	15	24	14
AL691432.2	2038	94	102	44	255	357	310
MIB2	8767	406	536	180	890	1227	990
MMP23B	2273	2	5	0	19	36	30
CDK11B	3488	348	539	266	444	573	498
FO704657.1	400	10	13	9	12	14	17
SLC35E2B	8395	1820	2384	1313	3205	4128	3900
AL691432.1	1819	0	0	0	3	0	0
MMP23A	1017	1	0	0	4	11	14
CDK11A	5085	48	28	25	49	73	80
AL031282.2	5079	189	269	149	678	893	833
AL031282.1	2759	4	7	2	5	10	13
SLC35E2A	7713	840	1211	722	2327	2869	2551
NADK	5570	1944	2520	1224	1655	2156	1960
GNB1	6417	8730	11172	7663	12367	16501	15442
AL109917.1	906	8	16	2	14	18	20
CALML6	2040	10	7	8	8	18	5
TMEM52	1600	63	79	15	25	34	43
CFAP74	10422	0	3	0	8	11	5
AL391845.2	2063	2	2	4	2	0	2
GABRD	5525	28	41	21	6	1	14
AL391845.1	538	1	1	0	2	2	7
