V1	V2	gene
ENST00000641515.2|OR4F5	0.871894667410733	OR4F5
ENST00000332831.4|OR4F16	0.904785672711781	OR4F16
ENST00000618323.5|SAMD11	0.965178915645244	SAMD11
ENST00000327044.7|NOC2L	0.916681082678947	NOC2L
ENST00000338591.8|KLHL17	0.868564482287791	KLHL17
ENST00000379410.8|PLEKHN1	0.941981491570017	PLEKHN1
ENST00000428771.6|HES4	0.978334491708517	HES4
ENST00000624697.4|ISG15	0.903889780646568	ISG15
ENST00000651234.1|AGRN	0.928576019935211	AGRN
ENST00000453464.3|RNF223	0.927626854110776	RNF223
ENST00000477196.5|C1orf159	0.938249989662967	C1orf159
ENST00000379290.6|TTLL10	0.900717203782682	TTLL10
ENST00000379268.7|TNFRSF18	0.939686177243183	TNFRSF18
ENST00000379236.4|TNFRSF4	0.887511825046911	TNFRSF4
ENST00000660930.1|SDF4	0.917759272000408	SDF4
ENST00000379198.5|B3GALT6	0.964924548424341	B3GALT6
ENST00000330388.2|C1QTNF12	0.935287450338889	C1QTNF12
ENST00000450390.6|UBE2J2	0.916173324682595	UBE2J2
ENST00000338555.6|SCNN1D	0.946064367502619	SCNN1D
ENST00000354700.10|ACAP3	0.955917863629331	ACAP3
ENST00000379031.10|PUSL1	0.922453161827677	PUSL1
ENST00000540437.5|INTS11	0.830990431179966	INTS11
ENST00000343938.9|CPTP	0.908151550875801	CPTP
ENST00000339381.6|TAS1R3	0.893813635321726	TAS1R3
ENST00000378888.10|DVL1	0.982062578076366	DVL1
ENST00000477278.3|MXRA8	0.863922426514512	MXRA8
ENST00000338370.7|AURKAIP1	0.902351256441255	AURKAIP1
ENST00000400809.8|CCNL2	0.943309387199319	CCNL2
ENST00000482352.1|MRPL20	0.961608115166968	MRPL20
ENST00000537107.6|ANKRD65	0.865518503436046	ANKRD65
ENST00000378821.4|TMEM88B	0.902318538794544	TMEM88B
ENST00000476993.2|VWA1	0.908399296813891	VWA1
ENST00000378785.7|ATAD3C	0.906841040558012	ATAD3C
ENST00000673477.1|ATAD3B	0.942958079107327	ATAD3B
ENST00000378755.9|ATAD3A	0.942958079107327	ATAD3A
ENST00000378733.9|TMEM240	0.89939217086361	TMEM240
ENST00000359060.5|SSU72	0.966495021006266	SSU72
ENST00000422725.4|FNDC10	0.902181250512089	FNDC10
ENST00000504599.6|MIB2	0.962663926039433	MIB2
ENST00000512731.5|MMP23B	0.920514085802372	MMP23B
ENST00000341832.11|CDK11B	0.854825724328506	CDK11B
ENST00000617444.5|SLC35E2B	0.919982240888848	SLC35E2B
ENST00000404249.8|CDK11A	0.854825724328506	CDK11A
ENST00000378625.5|NADK	0.911369169424402	NADK
ENST00000378609.9|GNB1	0.903502076158868	GNB1
ENST00000378604.3|CALML6	0.938182165481517	CALML6
ENST00000378602.3|TMEM52	0.958930495245872	TMEM52
ENST00000682832.1|CFAP74	0.962172183790302	CFAP74
ENST00000378585.7|GABRD	0.968482934389494	GABRD
ENST00000378567.8|PRKCZ	0.944829512714783	PRKCZ
ENST00000378536.5|SKI	0.977365797966593	SKI
ENST00000605895.6|RER1	0.881650351501913	RER1
ENST00000288774.8|PEX10	0.977635752959517	PEX10
ENST00000449969.5|PLCH2	0.942587039750222	PLCH2
ENST00000378466.9|PANK4	0.936865443490075	PANK4
ENST00000378453.4|HES5	0.947393355174019	HES5
ENST00000355716.5|TNFRSF14	0.937647038909663	TNFRSF14
ENST00000444521.6|PRXL2B	0.848725667271694	PRXL2B
ENST00000378412.8|MMEL1	0.871290268890924	MMEL1
ENST00000401095.8|TTC34	0.919667241711326	TTC34
ENST00000378404.4|ACTRT2	0.899352890607878	ACTRT2
ENST00000270722.10|PRDM16	0.916345636534101	PRDM16
ENST00000378378.9|ARHGEF16	0.963140877532225	ARHGEF16
ENST00000356575.9|MEGF6	0.943715899216158	MEGF6
ENST00000378344.7|TPRG1L	0.909734538991243	TPRG1L
ENST00000378322.7|WRAP73	0.94833244520513	WRAP73
ENST00000378295.9|TP73	0.960947233881431	TP73
ENST00000462521.2|CCDC27	0.833995364695693	CCDC27
ENST00000444870.7|SMIM1	0.919032543097811	SMIM1
ENST00000378251.3|LRRC47	0.994227856178728	LRRC47
ENST00000675108.1|CEP104	0.902713532397079	CEP104
ENST00000491998.5|DFFB	0.863028728414396	DFFB
ENST00000679946.1|C1orf174	0.870137835980484	C1orf174
ENST00000378191.5|AJAP1	0.927794690529402	AJAP1
ENST00000489180.6|NPHP4	0.932692142801946	NPHP4
ENST00000262450.8|CHD5	0.909495958206059	CHD5
ENST00000484532.6|RP1-120G22.12	0.936513000417797	RP1-120G22.12
ENST00000234875.9|RPL22	0.980830427684211	RPL22
ENST00000377939.5|RNF207	0.868567897604278	RNF207
ENST00000343813.10|ICMT	0.994227856178728	ICMT
ENST00000377898.4|HES3	0.893810558436139	HES3
ENST00000377893.3|GPR153	0.925593094926906	GPR153
ENST00000377842.7|ACOT7	0.985286466144461	ACOT7
ENST00000377834.8|HES2	0.941684831838772	HES2
ENST00000636330.1|ESPN	0.990499769810878	ESPN
ENST00000356876.8|TNFRSF25	0.914807239273235	TNFRSF25
ENST00000377740.5|PLEKHG5	0.929101053573245	PLEKHG5
ENST00000377705.6|NOL9	0.971325002360325	NOL9
ENST00000333172.11|TAS1R1	0.930005723745542	TAS1R1
ENST00000377674.9|ZBTB48	0.946682994588376	ZBTB48
ENST00000377663.3|KLHL21	0.985075037608704	KLHL21
ENST00000377648.5|PHF13	0.951623736926278	PHF13
ENST00000377627.7|THAP3	0.921428164019749	THAP3
ENST00000377577.10|DNAJC11	0.970447464070553	DNAJC11
ENST00000303635.12|CAMTA1	0.894379844513989	CAMTA1
ENST00000054666.11|VAMP3	0.924043714001922	VAMP3
ENST00000377532.8|PER3	0.91324403919165	PER3
ENST00000377516.6|UTS2	0.908588388321416	UTS2
ENST00000615230.4|TNFRSF9	0.899772297358317	TNFRSF9
ENST00000338639.10|PARK7	0.913819672893666	PARK7
ENST00000377482.10|ERRFI1	0.923360253591512	ERRFI1
ENST00000471889.7|SLC45A1	0.923069891984284	SLC45A1
ENST00000337907.7|RERE	0.906148844191625	RERE
ENST00000646370.2|ENO1	0.921778426570623	ENO1
ENST00000400906.2|SLC2A7	0.934383830170789	SLC2A7
ENST00000377424.9|SLC2A5	0.963045977994707	SLC2A5
ENST00000377411.5|GPR157	0.931086224174874	GPR157
ENST00000377403.7|H6PD	0.906169380990494	H6PD
ENST00000328089.11|SPSB1	0.949128548523847	SPSB1
ENST00000302692.7|SLC25A33	0.985819877787617	SLC25A33
ENST00000340305.9|TMEM201	0.957116005604062	TMEM201
ENST00000536656.5|PIK3CD	0.920781231920488	PIK3CD
ENST00000628140.2|PIK3CD	0.920781231920488	PIK3CD
ENST00000377298.9|CLSTN1	0.89510231654404	CLSTN1
ENST00000377263.6|CTNNBIP1	0.901844472482877	CTNNBIP1
ENST00000377223.6|LZIC	0.896492182554514	LZIC
ENST00000377205.6|NMNAT1	0.915075061018657	NMNAT1
ENST00000315901.4|RBP7	0.940877572783922	RBP7
ENST00000672724.1|UBE4B	0.932346811088846	UBE4B
ENST00000676179.1|KIF1B	0.880397598806826	KIF1B
ENST00000270776.13|PGD	0.98735983671165	PGD
ENST00000400900.6|CENPS-CORT	0.936092001456876	CENPS-CORT
ENST00000477755.1|CENPS	0.899774780750211	CENPS
ENST00000377049.4|CORT	0.902951887662823	CORT
ENST00000377038.8|DFFA	0.931675877798505	DFFA
ENST00000356607.9|PEX14	0.950896410457021	PEX14
ENST00000377022.8|CASZ1	0.896540813940068	CASZ1
ENST00000240185.8|TARDBP	0.889640917043186	TARDBP
ENST00000400897.8|MASP2	0.93499355114587	MASP2
ENST00000376957.7|SRM	0.974225864867365	SRM
ENST00000376936.9|EXOSC10	0.944183181403725	EXOSC10
ENST00000361445.9|MTOR	0.91065735188898	MTOR
ENST00000376819.4|ANGPTL7	0.889139528946217	ANGPTL7
ENST00000376810.6|UBIAD1	0.923525044191076	UBIAD1
ENST00000294484.7|DISP3	0.914972106214087	DISP3
ENST00000376770.5|FBXO44	0.943282965524887	FBXO44
ENST00000376753.9|FBXO6	0.935697547100686	FBXO6
ENST00000235310.7|MAD2L2	0.930553477474014	MAD2L2
ENST00000294485.6|DRAXIN	0.902731296629642	DRAXIN
ENST00000314340.10|AGTRAP	0.944813697008341	AGTRAP
ENST00000376592.6|MTHFR	0.947651583355772	MTHFR
ENST00000312413.10|CLCN6	0.952463810602845	CLCN6
ENST00000376480.7|NPPA	0.936555685041825	NPPA
ENST00000376468.4|NPPB	0.93456861928844	NPPB
ENST00000376572.8|KIAA2013	0.901141592385672	KIAA2013
ENST00000196061.5|PLOD1	0.918544160581963	PLOD1
ENST00000675231.1|MFN2	0.932634831668171	MFN2
ENST00000235332.6|MIIP	0.934894786459433	MIIP
ENST00000263932.7|TNFRSF8	0.889317233660728	TNFRSF8
ENST00000376259.7|TNFRSF1B	0.952568912577595	TNFRSF1B
ENST00000620676.6|VPS13D	0.872255011143718	VPS13D
ENST00000616661.5|DHRS3	0.923854597346279	DHRS3
ENST00000376221.2|AADACL4	0.949744876464537	AADACL4
ENST00000359318.8|AADACL3	0.916098527983353	AADACL3
ENST00000614859.5|C1orf158	0.868351500851182	C1orf158
ENST00000357726.5|PRAMEF12	0.894820410511066	PRAMEF12
ENST00000332296.7|PRAMEF1	0.894820410511066	PRAMEF1
ENST00000619922.1|PRAMEF11	0.86655251541047	PRAMEF11
ENST00000317869.7|HNRNPCL1	0.938456844826977	HNRNPCL1
ENST00000240189.2|PRAMEF2	0.894820410511066	PRAMEF2
ENST00000235349.6|PRAMEF4	0.86655251541047	PRAMEF4
ENST00000235347.4|PRAMEF10	0.900881776255754	PRAMEF10
ENST00000616979.4|PRAMEF7	0.844596718490538	PRAMEF7
ENST00000415464.6|PRAMEF6	0.910439741942851	PRAMEF6
ENST00000376189.5|PRAMEF6	0.910439741942851	PRAMEF6
ENST00000436041.6|PRAMEF27	0.86655251541047	PRAMEF27
ENST00000617807.3|HNRNPCL3	0.938456844826977	HNRNPCL3
ENST00000614839.4|PRAMEF25	0.86655251541047	PRAMEF25
ENST00000621994.3|HNRNPCL2	0.938456844826977	HNRNPCL2
ENST00000624207.1|PRAMEF26	0.86655251541047	PRAMEF26
ENST00000323770.8|HNRNPCL4	0.938456844826977	HNRNPCL4
ENST00000415919.3|PRAMEF9	0.86655251541047	PRAMEF9
ENST00000625019.3|PRAMEF13	0.894820410511066	PRAMEF13
ENST00000622421.2|PRAMEF5	0.910439741942851	PRAMEF5
ENST00000357367.6|PRAMEF8	0.903496277588297	PRAMEF8
ENST00000437300.2|PRAMEF33	0.900881776255754	PRAMEF33
ENST00000376152.2|PRAMEF15	0.86655251541047	PRAMEF15
ENST00000334600.7|PRAMEF14	0.894820410511066	PRAMEF14
ENST00000376098.4|PRAMEF17	0.900881776255754	PRAMEF17
ENST00000376085.4|LRRC38	0.917821552915273	LRRC38
ENST00000294489.10|PDPN	0.838949689806062	PDPN
ENST00000235372.11|PRDM2	0.883124518128017	PRDM2
ENST00000636203.1|KAZN	0.935201264239052	KAZN
ENST00000376008.3|TMEM51	0.897837481367849	TMEM51
ENST00000683790.1|FHAD1	0.918377589079929	FHAD1
ENST00000375980.9|EFHD2	0.9918158751719	EFHD2
ENST00000375949.5|CTRC	0.908226377505956	CTRC
ENST00000359621.5|CELA2A	0.907243175005598	CELA2A
ENST00000375910.8|CELA2B	0.914444382515069	CELA2B
ENST00000546424.5|CASP9	0.952968613332425	CASP9
ENST00000475133.5|DNAJC16	0.904766629699739	DNAJC16
ENST00000375826.4|AGMAT	0.909734538991243	AGMAT
ENST00000480945.6|DDI2	0.918853937607089	DDI2
ENST00000375799.8|PLEKHM2	0.968407489502018	PLEKHM2
ENST00000294454.6|SLC25A34	0.962576359058587	SLC25A34
ENST00000375782.2|TMEM82	0.903497128687655	TMEM82
ENST00000375771.5|FBLIM1	0.961977652654687	FBLIM1
ENST00000483273.2|UQCRHL	0.923738624305941	UQCRHL
ENST00000375759.8|SPEN	0.938705261348565	SPEN
ENST00000375733.6|ZBTB17	0.945972633618877	ZBTB17
ENST00000329454.2|SRARP	0.921182898642429	SRARP
ENST00000375718.4|HSPB7	0.836269352587459	HSPB7
ENST00000375692.5|CLCNKA	0.914383814929611	CLCNKA
ENST00000684324.1|CLCNKB	0.914383814929611	CLCNKB
ENST00000375662.5|FAM131C	0.917586919585995	FAM131C
ENST00000358432.8|EPHA2	0.956400039969029	EPHA2
ENST00000270747.8|ARHGEF19	0.909821379159418	ARHGEF19
ENST00000375599.8|CPLANE2	0.963903074711333	CPLANE2
ENST00000375592.8|FBXO42	0.900969556311186	FBXO42
ENST00000401088.9|SZRD1	0.902501360182836	SZRD1
ENST00000335496.5|SPATA21	0.954333893343192	SPATA21
ENST00000337132.10|NECAP2	0.961323416545654	NECAP2
ENST00000430580.6|NBPF1	0.945981537572186	NBPF1
ENST00000375541.10|CROCC	0.904760522952328	CROCC
ENST00000375535.4|MFAP2	0.89318664863803	MFAP2
ENST00000326735.13|ATP13A2	0.932099646581574	ATP13A2
ENST00000375499.8|SDHB	0.980171547822686	SDHB
ENST00000375486.9|PADI2	0.906970934915156	PADI2
ENST00000375471.5|PADI1	0.949220855758348	PADI1
ENST00000375460.3|PADI3	0.936014614752773	PADI3
ENST00000375448.4|PADI4	0.957931913600175	PADI4
ENST00000619609.1|PADI6	0.903913451172361	PADI6
ENST00000375436.9|RCC2	0.953042850886284	RCC2
ENST00000361221.8|ARHGEF10L	0.860577330143216	ARHGEF10L
ENST00000375406.2|ACTL8	0.961203632420439	ACTL8
ENST00000251296.4|IGSF21	0.929120231332086	IGSF21
ENST00000400664.3|KLHDC7A	0.890787284482036	KLHDC7A
ENST00000420770.7|PAX7	0.949598014485501	PAX7
ENST00000375371.3|TAS1R2	0.953487218131034	TAS1R2
ENST00000375341.8|ALDH4A1	0.91006567454293	ALDH4A1
ENST00000455833.7|IFFO2	0.899709593539061	IFFO2
ENST00000375254.8|UBR4	0.956966080607169	UBR4
ENST00000477853.6|EMC1	0.959505558638954	EMC1
ENST00000330263.5|MRTO4	0.928332642993226	MRTO4
ENST00000420396.3|AKR7L	0.929538661210761	AKR7L
ENST00000361640.5|AKR7A3	0.929538661210761	AKR7A3
ENST00000235835.8|AKR7A2	0.869564264108848	AKR7A2
ENST00000375153.8|SLC66A1	0.934965188523348	SLC66A1
ENST00000674449.1|CAPZB	0.946535995551699	CAPZB
ENST00000322753.7|MICOS10	0.935604306967997	MICOS10
ENST00000615215.4|NBL1	0.862624936547372	NBL1
ENST00000289753.2|HTR6	0.891154470859288	HTR6
ENST00000294543.11|TMCO4	0.913286846533772	TMCO4
ENST00000375121.4|RNF186	0.940540095452995	RNF186
ENST00000375120.4|OTUD3	0.916069387090597	OTUD3
ENST00000375116.3|PLA2G2E	0.875037340826338	PLA2G2E
ENST00000375111.7|PLA2G2A	0.916839313199304	PLA2G2A
ENST00000375108.4|PLA2G5	0.901040698242721	PLA2G5
ENST00000375105.8|PLA2G2D	0.930879193054149	PLA2G2D
ENST00000375102.4|PLA2G2F	0.956770022711524	PLA2G2F
ENST00000429261.2|PLA2G2C	0.896211873007092	PLA2G2C
ENST00000375099.4|UBXN10	0.939376870575457	UBXN10
ENST00000289815.13|VWA5B1	0.911822923455912	VWA5B1
ENST00000375078.4|CAMK2N1	0.959467798644641	CAMK2N1
ENST00000264198.5|MUL1	0.959378085072063	MUL1
ENST00000332947.6|FAM43B	0.930064805105374	FAM43B
ENST00000375071.4|CDA	0.967314474605131	CDA
ENST00000321556.5|PINK1	1	PINK1
ENST00000415136.6|DDOST	0.891826222987977	DDOST
ENST00000247986.2|KIF17	0.986043731350628	KIF17
ENST00000444387.7|SH2D5	0.946302013323087	SH2D5
ENST00000438032.6|HP1BP3	0.908246469252968	HP1BP3
ENST00000684485.1|EIF4G3	0.897402314297343	EIF4G3
ENST00000415912.6|ECE1	0.882308822333737	ECE1
ENST00000318220.10|NBPF3	0.881113471825376	NBPF3
ENST00000374840.8|ALPL	0.919757460151644	ALPL
ENST00000290101.8|RAP1GAP	0.855096973931153	RAP1GAP
ENST00000308271.14|USP48	0.946877504693824	USP48
ENST00000344642.7|LDLRAD2	0.914486880603615	LDLRAD2
ENST00000374695.8|HSPG2	0.953738512915835	HSPG2
ENST00000290122.8|CELA3A	0.850211501046215	CELA3A
ENST00000648594.1|CDC42	0.903823141195285	CDC42
ENST00000290167.11|WNT4	0.945219890190677	WNT4
