gene	length	GC%
OR4F5	1577	31.6423589093215
OR4F16	37	29.7297297297297
SAMD11	421	55.5819477434679
NOC2L	491	57.4338085539715
KLHL17	528	58.3333333333333
PLEKHN1	1290	61.5503875968992
PERM1	967	63.8055842812823
HES4	97	57.7319587628866
ISG15	62	53.2258064516129
AGRN	1135	61.6740088105727
RNF223	850	59.1764705882353
C1orf159	2752	66.1337209302326
TTLL10	89	71.9101123595506
TNFRSF18	336	69.3452380952381
TNFRSF4	215	68.3720930232558
SDF4	761	63.6005256241787
B3GALT6	1773	57.4168076706148
C1QTNF12	95	70.5263157894737
UBE2J2	2135	57.8922716627635
SCNN1D	414	65.4589371980676
ACAP3	1173	66.15515771526
PUSL1	298	58.7248322147651
INTS11	274	58.3941605839416
CPTP	1133	66.7255075022065
TAS1R3	850	64
DVL1	864	63.0787037037037
MXRA8	912	62.719298245614
AURKAIP1	71	56.3380281690141
CCNL2	1520	52.3026315789474
MRPL20	508	52.9527559055118
ANKRD65	680	52.5
TMEM88B	2468	54.7811993517018
VWA1	3095	64.4264943457189
ATAD3C	1633	54.4396815676669
ATAD3B	2031	59.4288527818808
ATAD3A	613	66.557911908646
TMEM240	581	69.5352839931153
SSU72	3687	53.9191754814212
FNDC10	1323	65.4572940287226
MIB2	74	64.8648648648649
MMP23B	773	70.2457956015524
CDK11B	539	53.9888682745826
SLC35E2B	4304	52.114312267658
CDK11A	528	53.5984848484849
NADK	1672	52.6315789473684
GNB1	1777	42.824985931345
CALML6	101	71.2871287128713
TMEM52	292	61.3013698630137
CFAP74	330	63.9393939393939
GABRD	476	61.5546218487395
PRKCZ	386	62.4352331606218
FAAP20	1733	58.7420657818811
SKI	3448	53.5962877030162
MORN1	4206	60.0332857822159
RER1	2312	52.5519031141868
PEX10	1802	54.4950055493896
PLCH2	1899	68.667719852554
PANK4	310	46.1290322580645
HES5	724	61.878453038674
TNFRSF14	556	60.9712230215827
PRXL2B	2040	59.8529411764706
MMEL1	351	63.2478632478632
TTC34	5392	56.4910979228487
ACTRT2	83	57.8313253012048
PRDM16	4810	51.975051975052
ARHGEF16	526	62.3574144486692
MEGF6	2577	53.7058595265813
TPRG1L	1524	50.3937007874016
WRAP73	631	52.7733755942948
TP73	3122	58.5201793721973
CCDC27	1606	59.1531755915318
SMIM1	61	70.4918032786885
LRRC47	2529	53.8157374456307
CEP104	6162	46.656929568322
DFFB	2016	46.3293650793651
C1orf174	1986	45.5689828801611
AJAP1	10049	45.984675092049
NPHP4	2544	58.0581761006289
KCNAB2	5435	62.2079116835327
CHD5	3687	60.7268782207757
RP1-120G22.12	413	49.8789346246973
RPL22	1652	41.2227602905569
RNF207	1892	48.2029598308668
ICMT	3887	48.3406225881142
HES3	71	60.5633802816901
GPR153	1985	60.8564231738035
ACOT7	324	52.1604938271605
HES2	3641	54.8201043669322
ESPN	474	60.5485232067511
TNFRSF25	648	58.641975308642
PLEKHG5	441	60.7709750566893
NOL9	4507	47.4151320168627
TAS1R1	171	64.9122807017544
ZBTB48	68	58.8235294117647
KLHL21	4641	55.8715794009912
PHF13	2393	49.6447973255328
THAP3	1498	59.1455273698264
DNAJC11	1505	57.8073089700997
CAMTA1	3215	35.3654743390358
VAMP3	1787	40.1790710688304
PER3	2422	36.5400495458299
UTS2	860	39.7674418604651
TNFRSF9	4941	42.6431896377252
PARK7	451	38.1374722838137
ERRFI1	1483	36.2778152393796
SLC45A1	152	57.2368421052632
RERE	2690	46.3568773234201
ENO1	1411	54.9964564138909
CA6	948	45.253164556962
SLC2A7	327	43.7308868501529
SLC2A5	2480	47.7016129032258
GPR157	4114	49.6840058337385
H6PD	6468	53.3704390847248
SPSB1	1957	53.0914665304037
SLC25A33	2672	42.7395209580838
TMEM201	2663	60.7209913631243
PIK3CD	2068	52.1276595744681
CLSTN1	1582	54.48798988622
CTNNBIP1	2442	54.9140049140049
LZIC	4106	40.818314661471
NMNAT1	2797	45.2985341437254
RBP7	628	46.656050955414
UBE4B	1283	40.9197194076383
KIF1B	5016	45.8333333333333
PGD	762	45.6692913385827
CENPS-CORT	558	34.4086021505376
CENPS	170	37.0588235294118
CORT	403	34.7394540942928
DFFA	4968	46.3566827697262
PEX14	771	62.7756160830091
CASZ1	2338	53.5500427715997
C1orf127	289	59.1695501730104
TARDBP	2838	36.7512332628612
MASP2	362	43.9226519337017
SRM	276	63.0434782608696
EXOSC10	100	43
MTOR	950	42.5263157894737
ANGPTL7	958	40.0835073068894
UBIAD1	2303	46.7650890143291
DISP3	865	62.7745664739884
FBXO2	1410	56.8085106382979
FBXO44	2054	56.0856864654333
FBXO6	503	51.8886679920477
MAD2L2	295	62.7118644067797
DRAXIN	6161	50.8359032624574
AGTRAP	577	61.8717504332756
C1orf167	138	47.8260869565217
MTHFR	4957	56.5866451482752
CLCN6	2920	51.1643835616438
NPPA	300	47.6666666666667
NPPB	191	37.17277486911
KIAA2013	724	47.5138121546961
PLOD1	729	55.8299039780521
MFN2	1935	51.6279069767442
MIIP	237	62.0253164556962
TNFRSF8	1676	58.890214797136
TNFRSF1B	2200	56.7727272727273
VPS13D	3023	46.0469732054251
DHRS3	430	53.4883720930233
AADACL4	341	41.6422287390029
AADACL3	2764	47.5759768451519
C1orf158	2748	50.4002911208151
PRAMEF12	307	46.5798045602606
PRAMEF1	632	40.8227848101266
PRAMEF11	337	44.213649851632
HNRNPCL1	31	45.1612903225806
PRAMEF2	130	35.3846153846154
PRAMEF4	332	45.1807228915663
PRAMEF10	20	65
PRAMEF7	69	46.3768115942029
PRAMEF6	203	49.2610837438424
PRAMEF27	332	44.8795180722892
HNRNPCL3	672	36.4583333333333
PRAMEF25	332	44.8795180722892
HNRNPCL2	31	45.1612903225806
PRAMEF26	332	44.8795180722892
HNRNPCL4	672	36.4583333333333
PRAMEF9	327	44.3425076452599
PRAMEF13	635	40.6299212598425
PRAMEF18	627	40.1913875598086
PRAMEF5	203	48.7684729064039
PRAMEF8	336	47.6190476190476
PRAMEF33	20	65
PRAMEF15	334	44.6107784431138
PRAMEF14	636	40.7232704402516
PRAMEF17	127	42.5196850393701
PRAMEF20	70	35.7142857142857
LRRC38	873	48.4536082474227
PDPN	2046	44.2326490713588
PRDM2	1944	51.0802469135803
KAZN	3408	53.5211267605634
TMEM51	735	47.6190476190476
FHAD1	915	44.4808743169399
EFHD2	1615	60.2476780185759
CTRC	2653	52.6573690162081
CELA2A	84	36.9047619047619
CELA2B	83	36.144578313253
CASP9	2952	48.5094850948509
DNAJC16	4347	42.6040947780078
AGMAT	1952	44.7233606557377
DDI2	9254	40.7283336935379
PLEKHM2	835	62.7544910179641
SLC25A34	1986	55.7401812688822
TMEM82	350	61.1428571428571
FBLIM1	1933	54.1645111226074
UQCRHL	205	37.0731707317073
